reactant_000,reactant_001
CC(=O)OC(C)=O,CCOC(=O)CC#N
CSc1ncc2c(n1)CCN(c1cccc(C(=O)Nc3ccc(C(C)C)cc3)n1)C2,O=S([O-])OO
C[O-],O=C(OCC(F)F)c1ccc(OCC(F)F)nc1Cl
CI,COC(=O)C1CC(=O)N(Cc2ccc(OC)cc2OC)C1
Cc1nc(-c2ccc(CBr)c([N+](=O)[O-])c2)no1,O=C1NC(=O)c2ccccc21
CC(C)=O,OCc1ccccc1-c1cc(-c2ccccc2)on1
CO,O=C(O)c1ccc(O)cc1C(F)(F)F
CCCCCCCCCBr,O=C(O)c1ccc(O)cc1
C1COCCO1,O=C1c2ccccc2C(=O)N1OC1CC=CC1
COc1ccccc1,Cc1cc(C(=O)Cl)ccc1Br
O=C(O)CCl,O=c1cc(C(F)(F)F)[nH]c(=S)[nH]1
CC[O+](CC)CC,NC(=O)c1ccc(Cl)c(Cl)c1
COc1ccccc1S,C[C@@H](CO)CBr
NO,O=Cc1cncc(Cl)c1Cl
C[S-],O=[N+]([O-])c1ccc(F)c(F)c1
CC(=O)C[C@H]1[C@@H](C(=O)O)C1(C)C,CC(C)ON
Cc1ccc(CCBr)cc1C,NC(=O)C(c1ccccc1)(c1ccccc1)C1CCNC1
Cc1n[nH]c2ccc(Br)cc12,ClCCN1CCCC1
CCc1ccc2c(c1)C(=O)CCN2,O=C(Cl)OCc1ccccc1
CCCCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)Nc2ccc(O)cc2)CCN3CC(C)C)cc1,CCCn1ccnc1CCl
CCCCCC(=O)Nc1ncc(O)cn1,CSCCO
BrCCCCBr,Nc1ccc2c3c(cccc13)C(=O)NC2=O
CCBr,CN(CCO)c1ccccc1
CC(C)Oc1cc(F)ccc1N,Cc1c(S(=O)(=O)NCCCN(C)C)sc2ncnc(Cl)c12
Cc1ccc2[nH]cc(CCN)c2c1,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1
OC(c1ccccc1)c1ccccc1,OC1CCCNC1
Nc1ccc(CS(=O)(=O)NCc2ccccc2)cc1,O=N[O-]
Cn1c(=O)n(CCCO[Si](C)(C)C(C)(C)C)c(=O)c2c1nc(Br)n2Cc1ccc(Cl)cc1,OCCN1CCOCC1
CCc1ccc(-n2c(S)nnc2CF)c2c1CCCC2,NS(=O)(=O)c1ccc(NC(=O)CCl)c(Cl)c1
COC(CC(=N)NO)OC,O=C(O)c1ccc(F)cn1
COC(=O)c1ccc(Oc2ccc(CC(C)=O)cc2)o1,NCC(O)c1cccc(Cl)c1
CC(C)(C)OC(=O)n1ccc2c(N3CCN(S(=O)(=O)NCCc4ccccc4)C4(CC4)C3)ncnc21,CCBr
COc1cc(Cl)nc(OC)n1,O=C1Cc2ccc(Cl)cc2N1
C#CCBr,O=C(O)C1=Cc2ccc(I)cc2OC1C(F)(F)F
CC12COCCN1c1nc(Cl)ncc1N(C1CCSCC1)C2=O,O=S([O-])OO
NCCc1c[nH]c2ccccc12,O=CC(=O)O
CC(C)(C)OC(=O)Nc1ccc(C[Si](C)(C)C)c([N+](=O)[O-])c1,COc1cccc(Cl)c1C=O
BrCCCCCCCn1c(-c2ccccc2)nc(-c2ccccc2)c1-c1ccccc1,[C-]#N
BrC1CC1,CC(=O)SC1CCN(C(=O)OC(C)(C)C)CC1
BrCc1nc(-c2ccccc2)nn1-c1cccnc1,[C-]#N
O=C([O-])[O-],O=S(=O)(F)c1c(F)c(F)c(F)c(F)c1F
ICCOCCOC1CCCCO1,Oc1ccc(C(=C(CCCl)c2ccccc2)c2ccccc2)cc1
COC(=O)C[C@@H](C)n1c(=O)[nH]c2ccccc2c1=O,Cc1cc(C)c2c(CBr)nsc2c1
CC(=O)O,CCOC(=O)C(Br)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1
Nc1cc(C(=O)[O-])cc(Cl)c1N,O=CO
C1CCNC1,CN1CCC(=O)C1(C)C
BrBr,COc1ccc(C(C)CC#N)cc1
NO,O=C(Cl)C=Cc1cccc(S(=O)(=O)NCc2cccnc2)c1
COc1cc2c(Oc3cc4ccccc4nc3C(C)=O)ccnc2cc1O,ClCCBr
CC1(CO[Si](C)(C)C(C)(C)C)Cc2nnc(C3(c4ccc(B5OC(C)(C)C(C)(C)O5)cc4)CC3)n2CCS1,Cc1ncccc1Br
CC(=O)c1ccc(N)cc1,O=C(Cl)OCc1ccccc1
C=C(C)CCl,Cc1cc(O)ccc1Br
CC(C)Oc1ccc(O)cc1,O=Cc1cc([N+](=O)[O-])cs1
CC(C)(C)N1C(=O)CC(c2ccc(C(Br)Br)cc2F)S1(=O)=O,CCO
CC1(C)OB(c2ccc3cc(NC(=O)c4ccsc4)ccc3c2)OC1(C)C,Cc1ccc(C(N)=O)cc1Br
COC(=O)c1[nH]c(=O)c2ccc(Br)cc2c1-c1ccccc1,ClCc1ccc(Cl)nc1
CNC(=N)NC#N,Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1
CC(=O)c1ccc(O)cc1O,COc1ccc(CCl)cc1
Cn1nc(-c2ccc(C#N)cc2)sc1=NC1CC=CCC1,O=C([O-])[O-]
N[C@@H](Cc1ccc([N+](=O)[O-])cc1)c1csc(-c2ccccc2)n1,S=C(Cl)Cl
CCOc1ccc2nc(N)sc2c1,Cl
O=C(CCBr)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,[N-]=[N+]=[N-]
CC(=O)c1c(O)cc(C)cc1O,NO
C=O,Cc1c(Br)ccc(S(C)(=O)=O)c1C=NO
BrBr,Cc1nc2sccc2o1
COc1ccccc1C(C)(C)C,[Br-]
CCCCCCCCCCCBr,O=Cc1cc([N+](=O)[O-])ccc1O
Nc1ccc2c(=O)[nH]cnc2c1,O=N[O-]
COC(=O)c1ccccc1S(=O)(=O)N=C=O,COc1cc(OC)nc(N)n1
O=C([O-])[O-],O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(-c2ccc3c(c2)c(=O)c(C(=O)OCC)cn3CC2CCNC2)cn1,O=CCN1CCOCC1
Clc1ccnc(Cl)c1,Nc1cc(Cl)c(O)cc1F
CC(C)(C)OC(=O)NCc1nc(C#N)cs1,Nc1ccccc1N
COC(CCBr)OC,N#Cc1ncccc1-c1c[nH]c(=O)[nH]c1=O
